webserver found: http://1.1.1.1:80/ , server header: cloudflare, title: <title>1.1.1.1 — The free app that makes your Internet faster.</title>, login: null
webserver found: http://177.26.167.36:8080/ , server header: IP Webcam Server 0.4, title: <title>IP Webcam</title>, login: null
webserver found: http://31.212.5.173:80/ , server header: Webs, title: <title></title>, inputform: true!
webserver found: http://31.212.127.146:80/ , server header: no entry, title: <title> Router </title>, login: true!
webserver found: http://2.216.1.41:80/ , server header: no entry, title: <title>Login</title>, login: true!
webserver found: http://2.216.1.174:8080/ , server header: no entry, title: <title>System Hub</title>, login: true!
webserver found: http://2.216.1.196:80/ , server header: lighttpd/1.4.37, title: <title>Intelligent Digital Security System</title>, login: true!
webserver found: http://2.216.2.16:80/ , server header: web, title: <title></title>, login: true!
webserver found: http://2.216.2.53:80/ , server header: DVRDVS-Webs, title: <title>index</title>, login: true!
webserver found: http://2.216.2.144:80/ , server header: DNVRS-Webs, title: <title></title>, login: true!
webserver found: http://2.216.3.19:80/ , server header: Boa/0.94.14rc21, title: <title>
			</title>, login: true!
webserver found: http://2.216.5.98:80/ , server header: Webs, title: <title></title>, login: true!
webserver found: http://2.216.6.68:80/ , server header: Webs, title: <title></title>, login: true!
webserver found: http://2.216.6.91:80/ , server header: Boa/0.94.14rc21, title: <title>Intelligent Digital Security System</title>, login: true!
webserver found: http://2.216.6.196:80/ , server header: uc-httpd 1.0.0, title: <title>NETSuveillance WEB</title>, login: true!
webserver found: http://2.216.7.31:80/ , server header: GoAhead-Webs/2.5.0, title: <title>Video Client</title>, login: true!
webserver found: http://2.216.7.246:80/ , server header: DNVRS-Webs, title: <title></title>, login: true!
webserver found: http://2.216.9.108:80/ , server header: no entry, title: <title></title>, login: true!
webserver found: http://2.216.13.28:80/ , server header: Qualvision -HTTPServer, title: null, login: true!
webserver found: http://2.216.14.165:80/ , server header: DNVRS-Webs, title: <title></title>, login: true!
webserver found: http://2.216.14.161:80/ , server header: DVRDVS-Webs, title: <title>index</title>, login: true!
webserver found: http://2.216.16.86:80/ , server header: DNVRS-Webs, title: <title></title>, login: true!
webserver found: http://2.216.16.142:80/ , server header: Qualvision -HTTPServer, title: null, login: true!
webserver found: http://2.216.18.181:80/ , server header: DNVRS-Webs, title: <title>index</title>, login: true!
webserver found: http://2.216.21.49:80/ , server header: DNVRS-Webs, title: <title></title>, login: true!
webserver found: http://2.216.22.1:80/ , server header: DNVRS-Webs, title: <title></title>, login: true!
webserver found: http://2.216.25.59:80/ , server header: Apache, title: null, login: true!
webserver found: http://2.216.25.223:80/ , server header: Webs, title: <title></title>, login: true!
webserver found: http://2.216.26.30:80/ , server header: no entry, title: <title>WEB SERVICE</title>, login: true!
webserver found: http://2.216.26.63:80/ , server header: web, title: <title></title>, login: true!
